id,listingType,url,price,tagClassName,tagText,date,street,suburb,state,postcode,lat,lng,beds,baths,parking,propertyType,propertyTypeFormatted,isRural,landSize,landUnit,isRetirement
2018347616,listing,/7-maitland-terrace-maitland-sa-5573-2018347616,,is-sold,Sold by private treaty 27 Feb 2023,20230227,7 Maitland Terrace,MAITLAND,SA,5573,-34.3740768,137.6696,4,4,4,House,House,False,754.0,m2,False
2016866203,listing,/lot-6-conservation-road-wauraltee-sa-5573-2016866203,,is-sold,Sold by private treaty 24 Nov 2022,20221124,Lot 6 Conservation Road,WAURALTEE,SA,5573,-34.5869331,137.512466,,,,VacantLand,Vacant land,True,45.11,ha,False
2017679098,listing,/lot-14-songvaar-road-port-victoria-sa-5573-2017679098,,is-sold,Sold by private treaty 03 Nov 2022,20221103,Lot 14 Songvaar Road,PORT VICTORIA,SA,5573,-34.4992,137.490189,,,,VacantLand,Vacant land,False,1074.0,m2,False
2017949014,listing,/7-eldon-street-maitland-sa-5573-2017949014,265000,is-sold,Sold by private treaty 14 Oct 2022,20221014,7 Eldon Street,MAITLAND,SA,5573,-34.3817558,137.672653,3,3,3,House,House,False,881.0,m2,False
2017969627,listing,/1-rogers-terrace-maitland-sa-5573-2017969627,,is-sold,Sold by private treaty 01 Dec 2022,20221201,1 Rogers Terrace,MAITLAND,SA,5573,-34.3724251,137.6768,3,3,3,House,House,False,1011.0,m2,False
2017992637,listing,/21-park-terrace-maitland-sa-5573-2017992637,285000,is-sold,Sold by private treaty 01 Nov 2022,20221101,21 Park Terrace,MAITLAND,SA,5573,-34.3775177,137.668732,3,3,3,House,House,False,900.0,m2,False
2018020240,listing,/3-hillview-crescent-maitland-sa-5573-2018020240,322500,is-sold,Sold by private treaty 20 Oct 2022,20221020,3 Hillview Crescent,MAITLAND,SA,5573,-34.37387,137.682755,3,3,3,House,House,False,1239.0,m2,False
2018043489,listing,/39b-clinton-road-maitland-sa-5573-2018043489,300000,is-sold,Sold by private treaty 30 Nov 2022,20221130,39B Clinton Road,MAITLAND,SA,5573,-34.3708878,137.681168,2,2,2,House,House,False,0.0,m2,False
2018073024,listing,/lot-2-weetulta-road-weetulta-sa-5573-2018073024,,is-sold,Sold at auction 02 Nov 2022,20221102,Lot 2 Weetulta Road,WEETULTA,SA,5573,-34.2501945,137.681442,,,,Rural,Rural,True,174.4,ha,False
2018116022,listing,/33-high-st-balgowan-sa-5573-2018116022,320000,is-sold,Sold by private treaty 16 Dec 2022,20221216,33 High St,BALGOWAN,SA,5573,-34.328846,137.494537,3,3,3,House,House,False,0.0,m2,False
2018141363,listing,/10-island-view-road-port-victoria-sa-5573-2018141363,,is-sold,Sold by private treaty 07 Nov 2022,20221107,10 Island View Road,PORT VICTORIA,SA,5573,-34.506546,137.4832,3,3,3,House,House,False,900.0,m2,False
2018149374,listing,/19-south-terrace-balgowan-sa-5573-2018149374,304000,is-sold,Sold by private treaty 04 Nov 2022,20221104,19 South Terrace,BALGOWAN,SA,5573,-34.32929,137.493591,3,3,3,House,House,False,975.0,m2,False
2018177664,listing,/lot-101-caroline-street-maitland-sa-5573-2018177664,,is-sold,Sold by private treaty 25 Nov 2022,20221125,Lot/101 Caroline Street,MAITLAND,SA,5573,-34.3734665,137.671478,,,,VacantLand,Vacant land,False,521.0,m2,False
2018208545,listing,/2-casper-crescent-port-victoria-sa-5573-2018208545,200000,is-sold,Sold by private treaty 19 Jan 2023,20230119,2 Casper Crescent,PORT VICTORIA,SA,5573,-34.5109,137.4793,3,3,3,House,House,False,766.0,m2,False
2018222408,listing,/3-esplanade-balgowan-sa-5573-2018222408,685000,is-sold,Sold by private treaty 06 Jan 2023,20230106,3 Esplanade,BALGOWAN,SA,5573,-34.3279533,137.4927,3,3,3,House,House,False,0.0,m2,False
2018230069,listing,/lot-14-songvaar-road-port-victoria-sa-5573-2018230069,,is-sold,Sold by private treaty 09 Nov 2022,20221109,Lot 14 Songvaar Road,PORT VICTORIA,SA,5573,-34.49914,137.490311,,,,VacantLand,Vacant land,False,1074.0,m2,False
2018230621,listing,/sections-253n-253s-smith-road-yorke-valley-sa-5573-2018230621,,is-sold,Sold at auction 01 Mar 2023,20230301,Sections 253N & 253S Smith Road,YORKE VALLEY,SA,5573,-34.4552078,137.69075,,,,Rural,Rural,True,256.8,ha,False
2018258305,listing,/3-crampton-crescent-port-victoria-sa-5573-2018258305,159000,is-sold,Sold by private treaty 30 Jan 2023,20230130,3 Crampton Crescent,PORT VICTORIA,SA,5573,-34.5117531,137.480209,,,,VacantLand,Vacant land,False,697.0,m2,False
