id,listingType,url,price,tagClassName,tagText,date,street,suburb,state,postcode,lat,lng,beds,baths,parking,propertyType,propertyTypeFormatted,isRural,landSize,landUnit,isRetirement
2011457078,listing,/21-3-kelly-street-wannamal-wa-6505-2011457078,,is-sold,Sold by private treaty 08 May 2015,20150508,21/3 Kelly Street,WANNAMAL,WA,6505,-31.1550789,116.054871,,,,VacantLand,Vacant land,False,3450.0,m2,False
2011601927,listing,/lot-5537-north-road-wannamal-wa-6505-2011601927,,is-sold,Sold by private treaty 18 May 2015,20150518,Lot 5537 North Road,WANNAMAL,WA,6505,-31.1080742,116.159668,,,,Rural,Rural,True,97.66,ha,False
2012312677,listing,/1121-hay-flat-road-wannamal-wa-6505-2012312677,,is-sold,Sold by private treaty 16 Jun 2016,20160616,1121 Hay Flat Road,WANNAMAL,WA,6505,-31.1673756,116.118843,4,4,4,House,House,True,64.79,ha,False
2013739997,listing,/220-waldeck-west-road-wannamal-wa-6505-2013739997,,is-sold,Sold by private treaty 03 Sep 2018,20180903,220 Waldeck West Road,WANNAMAL,WA,6505,-31.2173443,116.124283,1,1,1,Rural,Rural,True,40.47,ha,False
2013804365,listing,/-coolara-wannamal-wa-6505-2013804365,,is-sold,Sold by private treaty 03 Oct 2017,20171003,. Coolara,WANNAMAL,WA,6505,-31.1733,115.931,,,,Rural,Rural,True,651.0,ha,False
2013823292,listing,/385-hay-flat-road-wannamal-wa-6505-2013823292,,is-sold,Sold by private treaty 22 Feb 2018,20180222,385 Hay Flat Road,WANNAMAL,WA,6505,-31.1625328,116.084625,5,5,5,Rural,Rural,True,147.7,ha,False
2014159331,listing,/140-byrne-street-wannamal-wa-6505-2014159331,,is-sold,Sold by private treaty 28 Jun 2018,20180628,140 Byrne Street,WANNAMAL,WA,6505,-31.1545525,116.0553,,,,VacantLand,Vacant land,True,2.02,ha,False
2014159332,listing,/lot-55-byrne-street-wannamal-wa-6505-2014159332,,is-sold,Sold by private treaty 28 Jun 2018,20180628,Lot 55 Byrne Street,WANNAMAL,WA,6505,-31.15579,116.054733,,,,Rural,Rural,True,2.02,ha,False
2014306775,listing,/2-2-snake-spring-road-wannamal-wa-6505-2014306775,,is-sold,Sold by private treaty 08 Jun 2018,20180608,2/2 Snake Spring Road,WANNAMAL,WA,6505,-31.1572247,116.094978,,,,Rural,Rural,True,27.67,ha,False
2014411671,listing,/2417-bindoon-moora-road-wannamal-wa-6505-2014411671,,is-sold,Sold by private treaty 09 Nov 2018,20181109,2417 Bindoon-Moora Road,WANNAMAL,WA,6505,-31.1801052,116.064369,,,,Rural,Rural,True,3.98,ha,False
2014647259,listing,/2332-hayflat-road-wannamal-wa-6505-2014647259,,is-sold,Sold by private treaty 10 Nov 2018,20181110,2332 Hayflat Road,WANNAMAL,WA,6505,-31.16997,116.121162,,,,Rural,Rural,True,48.09,ha,False
2014661702,listing,/lot-21-bindoon-moora-road-wannamal-wa-6505-2014661702,,is-sold,Sold by private treaty 22 Sep 2018,20180922,"Lot 21, Bindoon-Moora Road",WANNAMAL,WA,6505,-31.16494,116.057823,,,,VacantLand,Vacant land,False,3450.0,m2,False
2014745811,listing,/356-hay-flat-road-wannamal-wa-6505-2014745811,,is-sold,Sold by private treaty 18 May 2020,20200518,356 Hay Flat Road,WANNAMAL,WA,6505,-31.167881,116.097351,4,4,4,Rural,Rural,True,25.0,ha,False
2015918071,listing,/lot-2132-bindoon-moora-road-wannamal-wa-6505-2015918071,,is-sold,Sold by private treaty 14 Dec 2021,20211214,Lot 2132 Bindoon Moora Road,WANNAMAL,WA,6505,-31.1660614,116.05867,,,,Rural,Rural,True,64.42,ha,False
2016364679,listing,/2796-bindoon-moora-road-wannamal-wa-6505-2016364679,,is-sold,Sold by private treaty 30 Mar 2021,20210330,2796 BINDOON-MOORA ROAD,WANNAMAL,WA,6505,-31.1450233,116.059624,,,,Rural,Rural,True,200.0,ha,False
2016471265,listing,/401-wannamal-west-road-wannamal-wa-6505-2016471265,,is-sold,Sold by private treaty 22 Feb 2022,20220222,401 Wannamal West Road,WANNAMAL,WA,6505,-31.1553116,116.030609,,,,VacantLand,Vacant land,False,0.0,m2,False
2016492305,listing,/99-lake-street-wannamal-wa-6505-2016492305,,is-sold,Sold by private treaty 20 Oct 2020,20201020,99 Lake Street,WANNAMAL,WA,6505,-31.146286,116.159576,2,2,2,House,House,True,1.62,ha,False
2016861191,listing,/3334-bindoon-moora-road-wannamal-wa-6505-2016861191,,is-sold,Sold by private treaty 05 Jun 2021,20210605,3334 Bindoon Moora Road,WANNAMAL,WA,6505,-31.09896,116.055748,3,3,3,Rural,Rural,True,704.0,ha,False
2017131934,listing,/lot-305-waldeck-west-road-wannamal-wa-6505-2017131934,450000,is-sold,Sold by private treaty 21 Sep 2021,20210921,Lot 305 Waldeck West Road,WANNAMAL,WA,6505,-31.2271271,116.109756,,,,VacantLand,Vacant land,False,0.0,m2,False
2017870107,listing,/311-pines-road-wannamal-wa-6505-2017870107,1400000,is-sold,Sold by private treaty 15 Sep 2022,20220915,311 Pines Road,WANNAMAL,WA,6505,-31.2187176,116.065636,4,4,4,House,House,True,127.88,ha,False
