id,listingType,url,price,tagClassName,tagText,date,street,suburb,state,postcode,lat,lng,beds,baths,parking,propertyType,propertyTypeFormatted,isRural,landSize,landUnit,isRetirement
2007902021,listing,/21-taman-sweetland-circuit-christmas-island-wa-6798-2007902021,,is-sold,Sold by private treaty 10 Sep 2009,20090910,21 Taman Sweetland Circuit,CHRISTMAS ISLAND,WA,6798,-10.48584,105.629524,3,3,3,House,House,False,0,m2,False
2010961890,listing,/christmas-island-wa-6798-2010961890,,is-sold,Sold by private treaty 15 Jul 2014,20140715,,CHRISTMAS ISLAND,WA,6798,-20.3116264,118.575256,,,,VacantLand,Vacant land,False,0,m2,False
2014900781,listing,/16-seaview-drive-christmas-island-wa-6798-2014900781,,is-sold,Sold by private treaty 17 Mar 2022,20220317,16 Seaview Drive,CHRISTMAS ISLAND,WA,6798,-20.314846,118.64373,5,5,5,House,House,False,1228,m2,False
2015472074,listing,/1-taman-sweetland-circuit-christmas-island-wa-6798-2015472074,,is-sold,Sold by private treaty 22 Oct 2020,20201022,1 Taman Sweetland Circuit,CHRISTMAS ISLAND,WA,6798,-20.3839149,118.648376,4,4,4,House,House,False,261,m2,False
2015630844,listing,/5-coconut-grove-christmas-island-wa-6798-2015630844,,is-sold,Sold by private treaty 02 Dec 2020,20201202,5 Coconut Grove,CHRISTMAS ISLAND,WA,6798,-20.3839149,118.648376,1,1,1,House,House,False,322,m2,False
2015683358,listing,/47-taman-sweetland-circuit-christmas-island-wa-6798-2015683358,,is-sold,Sold by private treaty 08 Jun 2020,20200608,47 Taman Sweetland Circuit,CHRISTMAS ISLAND,WA,6798,-20.3839149,118.648376,3,3,3,House,House,False,281,m2,False
2016989219,listing,/2-119-gaze-road-christmas-island-wa-6798-2016989219,,is-sold,Sold by private treaty 05 Jan 2022,20220105,2/119 Gaze Road,CHRISTMAS ISLAND,WA,6798,-10.4858713,105.629616,3,3,3,SemiDetached,Semi-Detached,False,0,m2,False
2017036043,listing,/6-abbotts-nest-christmas-island-wa-6798-2017036043,,is-sold,Sold by private treaty 04 Aug 2022,20220804,6 Abbotts Nest,CHRISTMAS ISLAND,WA,6798,-10.4858713,105.629616,3,3,3,House,House,False,886,m2,False
