id,listingType,url,price,tagClassName,tagText,date,street,suburb,state,postcode,lat,lng,beds,baths,parking,propertyType,propertyTypeFormatted,isRural,landSize,landUnit,isRetirement
2010701568,listing,/lot-50-grainstack-road-stansbury-sa-5582-2010701568,110000,is-sold,Sold by private treaty 27 Apr 2022,20220427,Lot 50 Grainstack Road,STANSBURY,SA,5582,-34.90407,137.790283,-,-,-,VacantLand,Vacant land,False,1195,m2,False
2012041939,listing,/9-manning-street-stansbury-sa-5582-2012041939,Price Withheld,is-sold,Sold by private treaty 21 Feb 2023,20230221,9 Manning Street,STANSBURY,SA,5582,-34.906765,137.785583,-,-,-,VacantLand,Vacant land,False,806,m2,False
2017508898,listing,/35-gulfview-road-stansbury-sa-5582-2017508898,650000,is-sold,Sold by private treaty 14 Oct 2022,20221014,35 Gulfview Road,STANSBURY,SA,5582,-34.9135132,137.7897,4,2,4,House,House,False,3130,m2,False
2017527104,listing,/29-seaview-court-stansbury-sa-5582-2017527104,605000,is-sold,Sold by private treaty 02 Jun 2022,20220602,29 Seaview Court,STANSBURY,SA,5582,-34.90034,137.794876,4,2,2,House,House,False,654,m2,False
2017589477,listing,/8-park-terrace-stansbury-sa-5582-2017589477,Price Withheld,is-sold,Sold by private treaty 16 May 2022,20220516,8 Park Terrace,STANSBURY,SA,5582,-34.91351,137.80101,2,1,12,House,House,False,1454,m2,False
2017671822,listing,/18-parrington-street-stansbury-sa-5582-2017671822,650000,is-sold,Sold by private treaty 27 May 2022,20220527,18 Parrington Street,STANSBURY,SA,5582,-34.9107437,137.793335,4,2,4,House,House,False,700,m2,False
2017678481,listing,/7-seaview-court-stansbury-sa-5582-2017678481,632500,is-sold,Sold prior to auction 24 Jun 2022,20220624,7 Seaview Court,STANSBURY,SA,5582,-34.90225,137.795334,5,2,4,House,House,False,820,m2,False
2017726471,listing,/35-seaview-court-stansbury-sa-5582-2017726471,179000,is-sold,Sold by private treaty 22 Jul 2022,20220722,35 Seaview Court,STANSBURY,SA,5582,-34.90023,137.79422,-,-,-,VacantLand,Vacant land,False,863,m2,False
2017736996,listing,/39-seaview-court-stansbury-sa-5582-2017736996,650000,is-sold,Sold by private treaty 08 Jul 2022,20220708,39 Seaview Court,STANSBURY,SA,5582,-34.899868,137.794189,4,2,6,House,House,False,657,m2,False
2017878492,listing,/7-thomas-street-stansbury-sa-5582-2017878492,Price Withheld,is-sold,Sold by private treaty 24 Jun 2022,20220624,7 Thomas Street,STANSBURY,SA,5582,-34.90551,137.78685,3,1,2,House,House,False,1067,m2,False
2017918600,listing,/5-lantana-court-stansbury-sa-5582-2017918600,Price Withheld,is-sold,Sold by private treaty 15 Jul 2022,20220715,5 Lantana Court,STANSBURY,SA,5582,-34.9005547,137.794342,4,2,2,House,House,False,764,m2,False
2017928972,listing,/34-brentwood-road-stansbury-sa-5582-2017928972,Price Withheld,is-sold,Sold by private treaty 25 Oct 2022,20221025,34 Brentwood Road,STANSBURY,SA,5582,-34.9072647,137.785172,2,1,-,House,House,False,2660,m2,False
2017991305,listing,/38-park-terrace-stansbury-sa-5582-2017991305,442000,is-sold,Sold by private treaty 22 Aug 2022,20220822,38 Park Terrace,STANSBURY,SA,5582,-34.91348,137.795273,3,1,-,House,House,False,1620,m2,False
2018039257,listing,/13-pioneer-street-stansbury-sa-5582-2018039257,Price Withheld,is-sold,Sold by private treaty 09 Jan 2023,20230109,13 Pioneer Street,STANSBURY,SA,5582,-34.91169,137.800034,4,1,2,House,House,False,665,m2,False
2018076241,listing,/1-michael-street-stansbury-sa-5582-2018076241,87000,is-sold,Sold by private treaty 09 Nov 2022,20221109,1 Michael Street,STANSBURY,SA,5582,-34.907032,137.786057,-,-,-,VacantLand,Vacant land,False,854,m2,False
2018101527,listing,/12-martin-street-stansbury-sa-5582-2018101527,Price Withheld,is-sold,Sold at auction 02 Nov 2022,20221102,12 Martin Street,STANSBURY,SA,5582,-34.9066925,137.787323,2,1,3,House,House,False,957,m2,False
2018131491,listing,/7-north-terrace-stansbury-sa-5582-2018131491,380000,is-sold,Sold by private treaty 20 Jan 2023,20230120,7 North Terrace,STANSBURY,SA,5582,-34.9074364,137.792709,3,1,8,House,House,False,1300,m2,False
2018161806,listing,/9-karatta-crescent-stansbury-sa-5582-2018161806,Price Withheld,is-sold,Sold by private treaty 06 Dec 2022,20221206,9 Karatta Crescent,STANSBURY,SA,5582,-34.9150734,137.797928,3,2,4,House,House,False,1502,m2,False
2018249804,listing,/3-michael-street-stansbury-sa-5582-2018249804,Price Withheld,is-sold,Sold by private treaty 31 Jan 2023,20230131,3 Michael Street,STANSBURY,SA,5582,-34.9070473,137.7863,-,-,-,VacantLand,Vacant land,False,873,m2,False
2018257392,listing,/3-manning-street-stansbury-sa-5582-2018257392,Price Withheld,is-sold,Sold by private treaty 24 Jan 2023,20230124,3 Manning Street,STANSBURY,SA,5582,-34.9078827,137.785645,-,-,-,VacantLand,Vacant land,False,785,m2,False
