id,listingType,url,price,tagClassName,tagText,date,street,suburb,state,postcode,lat,lng,beds,baths,parking,propertyType,propertyTypeFormatted,isRural,landSize,landUnit,isRetirement
2017244573,listing,/lot-11-71-surveyors-bay-road-surveyors-bay-tas-7116-2017244573,Price Withheld,is-sold,Sold by private treaty 25 Jan 2023,20230125,Lot 11/71 Surveyors Bay Road,SURVEYORS BAY,TAS,7116,-43.2753448,147.087234,NaN,NaN,NaN,VacantLand,Vacant land,False,1795.0,m2,False
2017483830,listing,/71-surveyors-bay-road-surveyors-bay-tas-7116-2017483830,Price Withheld,is-sold,Sold by private treaty 27 Feb 2023,20230227,71 Surveyors Bay Road,SURVEYORS BAY,TAS,7116,-43.2753448,147.087234,4,4,4,House,House,False,2238.0,m2,False
2017835878,listing,/8-kent-street-geeveston-tas-7116-2017835878,455000,is-sold,Sold by private treaty 02 Dec 2022,20221202,8 Kent Street,GEEVESTON,TAS,7116,-43.16542,146.9308,4,4,4,House,House,False,1229.0,m2,False
2018031134,listing,/19-duke-street-geeveston-tas-7116-2018031134,680000,is-sold,Sold by private treaty 22 Dec 2022,20221222,19 Duke Street,GEEVESTON,TAS,7116,-43.167614,146.923019,4,4,4,House,House,True,1.81,ha,False
2018043852,listing,/lot-1-howards-geeveston-tas-7116-2018043852,420000,is-sold,Sold by private treaty 06 Dec 2022,20221206,Lot 1 Howards,GEEVESTON,TAS,7116,-43.1590767,146.905045,NaN,NaN,NaN,VacantLand,Vacant land,True,15.9,ha,False
2018043854,listing,/lot-4-howards-road-geeveston-tas-7116-2018043854,430000,is-sold,Sold by private treaty 28 Nov 2022,20221128,Lot 4 Howards Road,GEEVESTON,TAS,7116,-43.15498,146.901688,NaN,NaN,NaN,VacantLand,Vacant land,True,10.28,ha,False
2018043856,listing,/lot-3-howards-road-geeveston-tas-7116-2018043856,390000,is-sold,Sold by private treaty 18 Nov 2022,20221118,Lot 3 Howards Road,GEEVESTON,TAS,7116,-43.154686,146.901154,NaN,NaN,NaN,VacantLand,Vacant land,True,6.66,ha,False
2018051117,listing,/13-evans-road-port-huon-tas-7116-2018051117,Price Withheld,is-sold,Sold by private treaty 22 Dec 2022,20221222,13 Evans Road,PORT HUON,TAS,7116,-43.159,146.9507,NaN,NaN,NaN,VacantLand,Vacant land,True,1.21,ha,False
2018116440,listing,/lot-2-huon-highway-surges-bay-tas-7116-2018116440,250000,is-sold,Sold by private treaty 06 Feb 2023,20230206,Lot 2 Huon Highway,SURGES BAY,TAS,7116,-43.22656,146.987823,NaN,NaN,NaN,VacantLand,Vacant land,True,3.75,ha,False
2018125536,listing,/8-arve-road-geeveston-tas-7116-2018125536,440000,is-sold,Sold by private treaty 28 Nov 2022,20221128,8 Arve Road,GEEVESTON,TAS,7116,-43.16327,146.928452,3,3,3,House,House,False,670.0,m2,False
2018159583,listing,/105-fourfoot-road-geeveston-tas-7116-2018159583,670000,is-sold,Sold by private treaty 09 Dec 2022,20221209,105 Fourfoot Road,GEEVESTON,TAS,7116,-43.153244,146.919067,3,3,3,House,House,False,6310.0,m2,False
2018182004,listing,/12-view-street-geeveston-tas-7116-2018182004,550000,is-sold,Sold by private treaty 22 Dec 2022,20221222,12 View Street,GEEVESTON,TAS,7116,-43.1658936,146.9283,4,4,4,House,House,False,840.0,m2,False
2018210915,listing,/4921-huon-highway-geeveston-tas-7116-2018210915,640000,is-sold,Sold by private treaty 16 Dec 2022,20221216,4921 Huon Highway,GEEVESTON,TAS,7116,-43.17149,146.924377,4,4,4,House,House,False,1781.0,m2,False
2018215247,listing,/13-hyndes-road-port-huon-tas-7116-2018215247,360000,is-sold,Sold by private treaty 14 Dec 2022,20221214,13 Hyndes Road,PORT HUON,TAS,7116,-43.1550636,146.964417,2,2,2,ApartmentUnitFlat,Apartment / Unit / Flat,False,1360.0,m2,False
2018223781,listing,/lot-3-41-donnellys-road-geeveston-tas-7116-2018223781,Price Withheld,is-sold,Sold by private treaty 22 Feb 2023,20230222,Lot 3/41 Donnellys Road,GEEVESTON,TAS,7116,-43.1426277,146.915619,NaN,NaN,NaN,VacantLand,Vacant land,True,9.19,ha,False
2018292994,listing,/99-britcliffes-road-geeveston-tas-7116-2018292994,795000,is-sold,Sold by private treaty 10 Feb 2023,20230210,99 Britcliffes Road,GEEVESTON,TAS,7116,-43.1878929,146.913589,4,4,4,House,House,True,11.74,ha,False
2018300087,listing,/11-hyndes-road-port-huon-tas-7116-2018300087,550000,is-sold,Sold by private treaty 23 Feb 2023,20230223,11 Hyndes Road,PORT HUON,TAS,7116,-43.1551781,146.9646,3,3,3,House,House,False,1012.0,m2,False
2018300671,listing,/18-doctor-dicks-drive-port-huon-tas-7116-2018300671,270000,is-sold,Sold by private treaty 16 Feb 2023,20230216,18 Doctor Dicks Drive,PORT HUON,TAS,7116,-43.15646,146.972382,NaN,NaN,NaN,VacantLand,Vacant land,False,1000.0,m2,False
2018313467,listing,/9-fourfoot-road-geeveston-tas-7116-2018313467,545000,is-sold,Sold by private treaty 14 Feb 2023,20230214,9 Fourfoot Road,GEEVESTON,TAS,7116,-43.16098,146.921936,3,3,3,House,House,False,1740.0,m2,False
2018331220,listing,/456-esperance-coast-road-brooks-bay-tas-7116-2018331220,Price Withheld,is-sold,Sold by private treaty 02 Mar 2023,20230302,456 Esperance Coast Road,BROOKS BAY,TAS,7116,-43.2370338,147.0302,3,3,3,House,House,True,5.21,ha,False
