id,listingType,url,price,tagClassName,tagText,date,street,suburb,state,postcode,lat,lng,beds,baths,parking,propertyType,propertyTypeFormatted,isRural,landSize,landUnit,isRetirement
2013515286,listing,/2-cassia-court-nebo-qld-4742-2013515286,250000,is-sold,Sold by private treaty 24 Mar 2022,20220324,2 Cassia Court,NEBO,QLD,4742,-21.6959229,148.691162,3,3,3,House,House,False,1180.0,m2,False
2013908528,listing,/9-anne-street-nebo-qld-4742-2013908528,330000,is-sold,Sold by private treaty 23 May 2022,20220523,9 Anne Street,NEBO,QLD,4742,-21.6952343,148.691666,4,4,4,House,House,False,1012.0,m2,False
2016018224,listing,/lot-53-walshs-road-nebo-qld-4742-2016018224,215000,is-sold,Sold by private treaty 07 Oct 2021,20211007,Lot 53 Walshs Road,NEBO,QLD,4742,-21.6694069,148.699127,,,,Rural,Rural,True,26.61,ha,False
2016795120,listing,/43308-fitzroy-development-rd-valkyrie-qld-4742-2016795120,26825000,is-sold,Sold by private treaty 12 May 2022,20220512,43308 fitzroy development rd,VALKYRIE,QLD,4742,-22.0935421,148.600479,,,,SpecialistFarm,Specialist Farm,True,12722.0,ha,False
2017134381,listing,/42-43-peak-downs-highway-nebo-qld-4742-2017134381,450000,is-sold,Sold at auction 26 Nov 2021,20211126,42-43 Peak Downs Highway,NEBO,QLD,4742,-21.69392,148.696152,,,,VacantLand,Vacant land,False,0.0,m2,False
2017205268,listing,/1-2-3-8-cassia-court-nebo-qld-4742-2017205268,380000,is-sold,Sold by private treaty 10 Nov 2022,20221110,"1, 2 & 3/8 Cassia Court",NEBO,QLD,4742,-21.6965981,148.691269,7,7,7,Duplex,Duplex,False,1201.0,m2,False
2017209884,listing,/17490-peak-downs-highway-nebo-qld-4742-2017209884,571000,is-sold,Sold by private treaty 05 Nov 2021,20211105,17490 Peak Downs Highway,NEBO,QLD,4742,-21.66496,148.69165,3,3,3,SpecialistFarm,Specialist Farm,True,135.9,ha,False
2017328250,listing,/77-walshs-road-nebo-qld-4742-2017328250,720000,is-sold,Sold by private treaty 06 May 2022,20220506,77 Walshs Road,NEBO,QLD,4742,-21.6694069,148.699127,4,4,4,AcreageSemiRural,Acreage / Semi-Rural,True,25.8,ha,False
2017334084,listing,/90-saint-lawrence-street-nebo-qld-4742-2017334084,165000,is-sold,Sold by private treaty 15 Dec 2021,20211215,90 Saint Lawrence Street,NEBO,QLD,4742,-21.6958523,148.695,3,3,3,House,House,False,800.0,m2,False
2017378295,listing,/21-25-kemmis-street-nebo-qld-4742-2017378295,40000,is-sold,Sold by private treaty 03 Jan 2023,20230103,21-25 Kemmis Street,NEBO,QLD,4742,-21.6893139,148.690567,,,,VacantLand,Vacant land,False,0.0,m2,False
2017460488,listing,/22-denison-street-nebo-qld-4742-2017460488,265000,is-sold,Sold by private treaty 21 Dec 2021,20211221,22 Denison Street,NEBO,QLD,4742,-21.6855049,148.688889,4,4,4,House,House,False,688.0,m2,False
2017579293,listing,/13-oxford-street-nebo-qld-4742-2017579293,220000,is-sold,Sold by private treaty 23 Aug 2022,20220823,13 Oxford Street,NEBO,QLD,4742,-21.6867275,148.689835,3,3,3,House,House,False,883.0,m2,False
2017622656,listing,/42-cassia-court-nebo-qld-4742-2017622656,385000,is-sold,Sold by private treaty 15 Jul 2022,20220715,42 Cassia Court,NEBO,QLD,4742,-21.6973114,148.69368,5,5,5,House,House,False,1145.0,m2,False
2017691605,listing,/46-oxford-street-nebo-qld-4742-2017691605,137500,is-sold,Sold by private treaty 29 Mar 2022,20220329,46 Oxford Street,NEBO,QLD,4742,-21.6907272,148.690262,4,4,4,House,House,False,999.0,m2,False
2017699751,listing,/7-wilkin-st-nebo-qld-4742-2017699751,250000,is-sold,Sold by private treaty 30 Sep 2022,20220930,7 Wilkin st,NEBO,QLD,4742,-21.6939621,148.690948,2,2,2,House,House,False,1012.0,m2,False
2017737670,listing,/49-reynolds-street-nebo-qld-4742-2017737670,243000,is-sold,Sold by private treaty 27 Jul 2022,20220727,49 Reynolds Street,NEBO,QLD,4742,-21.68743,148.692673,3,3,3,House,House,False,2023.0,m2,False
2017898375,listing,/56-walshs-road-nebo-qld-4742-2017898375,698000,is-sold,Sold by private treaty 01 Aug 2022,20220801,56 Walshs Road,NEBO,QLD,4742,-21.6694069,148.699127,4,4,4,House,House,True,16.59,ha,False
2017958375,listing,/2-denison-street-nebo-qld-4742-2017958375,290000,is-sold,Sold by private treaty 13 Oct 2022,20221013,2 Denison Street,NEBO,QLD,4742,-21.68612,148.687347,4,4,4,House,House,False,2023.0,m2,False
2017990618,listing,/46-oxford-street-nebo-qld-4742-2017990618,150000,is-sold,Sold by private treaty 06 Sep 2022,20220906,46 Oxford Street,NEBO,QLD,4742,-21.690712,148.690323,4,4,4,House,House,False,999.0,m2,False
2018043557,listing,/21-23-oxford-street-nebo-qld-4742-2018043557,345000,is-sold,Sold by private treaty 12 Jan 2023,20230112,21-23 Oxford Street,NEBO,QLD,4742,-21.6868515,148.689957,3,3,3,House,House,False,2030.0,m2,False
