id,listingType,url,price,tagClassName,tagText,date,street,suburb,state,postcode,lat,lng,beds,baths,parking,propertyType,propertyTypeFormatted,isRural,landSize,landUnit,isRetirement
2016257842,listing,/23-mill-road-tanjil-bren-vic-3833-2016257842,125000,is-sold,Sold by private treaty 07 Dec 2021,20211207,23 Mill Road,TANJIL BREN,VIC,3833,-37.82636,146.179047,,,,VacantLand,Vacant land,False,1193.0,m2,False
2017165379,listing,/601-loch-valley-road-noojee-vic-3833-2017165379,810000,is-sold,Sold by private treaty 03 Oct 2021,20211003,601 Loch Valley Road,NOOJEE,VIC,3833,-37.8462563,145.994019,,,,MixedFarming,Mixed Farming,True,0.0,m2,False
2017210744,listing,/516-mt-baw-baw-tourist-road-noojee-vic-3833-2017210744,150000,is-sold,Sold by private treaty 20 Oct 2021,20211020,516 Mt Baw Baw Tourist Road,NOOJEE,VIC,3833,-37.9003067,146.010117,,,,VacantLand,Vacant land,False,1079.0,m2,False
2017322491,listing,/3424-yarra-junction-noojee-road-piedmont-vic-3833-2017322491,715000,is-sold,Sold by private treaty 14 Jan 2022,20220114,3424 Yarra Junction - Noojee Road,PIEDMONT,VIC,3833,-37.8946533,145.9214,,,,SpecialistFarm,Specialist Farm,True,10.52,ha,False
2017340534,listing,/5-loch-street-noojee-vic-3833-2017340534,435000,is-sold,Sold by private treaty 02 Dec 2021,20211202,5 Loch Street,NOOJEE,VIC,3833,-37.8925171,145.995758,3,3,3,House,House,False,949.0,m2,False
2017354026,listing,/41-fortuna-road-vesper-vic-3833-2017354026,895000,is-sold,Sold at auction 04 Dec 2021,20211204,41 Fortuna Road,VESPER,VIC,3833,-37.86236,146.078644,,,,AcreageSemiRural,Acreage / Semi-Rural,True,22.66,ha,False
2017483186,listing,/16-loch-crescent-noojee-vic-3833-2017483186,475000,is-sold,Sold by private treaty 18 Feb 2022,20220218,16 Loch Crescent,NOOJEE,VIC,3833,-37.8922157,145.996384,3,3,3,House,House,False,650.0,m2,False
2017496010,listing,/97-school-road-noojee-vic-3833-2017496010,540000,is-sold,Sold by private treaty 23 Dec 2021,20211223,97 School Road,NOOJEE,VIC,3833,-37.8971329,146.010818,3,3,3,House,House,False,1000.0,m2,False
2017528333,listing,/1-on-tp-10-mt-baw-baw-tourist-road-icy-creek-vic-3833-2017528333,220000,is-sold,Sold by private treaty 25 Jan 2022,20220125,1 on TP 10 Mt Baw Baw Tourist Road,ICY CREEK,VIC,3833,-37.87549,146.098267,,,,VacantLand,Vacant land,True,5.14,ha,False
2017650111,listing,/10-12-old-noojee-road-noojee-vic-3833-2017650111,560000,is-sold,Sold by private treaty 20 Mar 2022,20220320,10-12 Old Noojee Road,NOOJEE,VIC,3833,-37.8968544,146.0,2,2,2,House,House,False,2025.0,m2,False
2017677247,listing,/15-2260-mt-baw-baw-tourist-road-icy-creek-vic-3833-2017677247,345000,is-sold,Sold by private treaty 10 May 2022,20220510,15/2260 Mt Baw Baw Tourist Road,ICY CREEK,VIC,3833,-37.8657532,146.11499,,,,VacantLand,Vacant land,False,726.0,m2,False
2017721771,listing,/1860-mount-baw-baw-tourist-road-icy-creek-vic-3833-2017721771,390000,is-sold,Sold by private treaty 28 Jun 2022,20220628,1860 Mount Baw Baw Tourist Road,ICY CREEK,VIC,3833,-37.8709145,146.103317,3,3,3,House,House,False,4612.0,m2,False
2017880106,listing,/240-toorongo-valley-road-noojee-vic-3833-2017880106,1000000,is-sold,Sold by private treaty 20 Aug 2022,20220820,240 Toorongo Valley Road,NOOJEE,VIC,3833,-37.8818436,146.039658,3,3,3,RuralLifestyle,Rural Lifestyle,True,96.16,ha,False
2018031843,listing,/3455-yarra-junction-noojee-road-piedmont-vic-3833-2018031843,860000,is-sold,Sold by private treaty 03 Oct 2022,20221003,3455 Yarra Junction-Noojee Road,PIEDMONT,VIC,3833,-37.89141,145.924835,7,7,7,House,House,True,6.4,ha,False
2018190619,listing,/518-mt-baw-baw-tourist-road-noojee-vic-3833-2018190619,620000,is-sold,Sold by private treaty 23 Dec 2022,20221223,518 Mt Baw Baw Tourist Road,NOOJEE,VIC,3833,-37.900547,146.010071,3,3,3,House,House,False,4049.0,m2,False
2018209478,listing,/280-mt-baw-baw-tourist-road-noojee-vic-3833-2018209478,790000,is-sold,Sold by private treaty 07 Dec 2022,20221207,280 Mt Baw Baw Tourist Road,NOOJEE,VIC,3833,-37.8953056,145.9903,,,,VacantLand,Vacant land,True,6.12,ha,False
2018223164,listing,/740-mt-baw-baw-tourist-road-noojee-vic-3833-2018223164,360000,is-sold,Sold by private treaty 30 Jan 2023,20230130,740 Mt Baw Baw Tourist Road,NOOJEE,VIC,3833,-37.90219,146.023346,,,,RuralLifestyle,Rural Lifestyle,True,0.0,m2,False
2018225375,listing,/1595-mt-baw-baw-road-icy-creek-vic-3833-2018225375,,is-sold,Sold by private treaty 20 Dec 2022,20221220,1595 Mt Baw Baw Road,ICY CREEK,VIC,3833,-37.88634,146.0909,4,4,4,House,House,True,23.76,ha,False
2018276271,listing,/3508-mt-baw-baw-tourist-road-tanjil-bren-vic-3833-2018276271,220000,is-sold,Sold by private treaty 08 Feb 2023,20230208,3508 Mt Baw Baw Tourist Road,TANJIL BREN,VIC,3833,-37.8245239,146.176376,3,3,3,House,House,False,0.0,m2,False
2018297407,listing,/7-bennett-street-noojee-vic-3833-2018297407,,is-sold,Sold by private treaty 24 Feb 2023,20230224,7 Bennett Street,NOOJEE,VIC,3833,-37.89299,145.9991,2,2,2,House,House,False,690.0,m2,False
