id,listingType,url,price,tagClassName,tagText,date,street,suburb,state,postcode,lat,lng,beds,baths,parking,propertyType,propertyTypeFormatted,isRural,landSize,landUnit,isRetirement
2016424649,listing,/56-adams-road-port-welshpool-vic-3965-2016424649,140000,is-sold,Sold by private treaty 02 Jul 2021,20210702,56 Adams Road,PORT WELSHPOOL,VIC,3965,-38.6871452,146.474182,-,-,-,Rural,Rural,True,2.43,ha,False
2016682033,listing,/87-townsend-street-port-welshpool-vic-3965-2016682033,455000,is-sold,Sold by private treaty 30 Jun 2021,20210630,87 Townsend Street,PORT WELSHPOOL,VIC,3965,-38.69759,146.466949,3,2,4,House,House,False,813,m2,False
2016921245,listing,/10-ross-street-port-welshpool-vic-3965-2016921245,430000,is-sold,Sold by private treaty 09 Aug 2021,20210809,10 ROSS STREET,PORT WELSHPOOL,VIC,3965,-38.69579,146.458923,1,1,-,BlockOfUnits,Block of Units,False,718,m2,False
2017041413,listing,/57-lewis-street-port-welshpool-vic-3965-2017041413,530000,is-sold,Sold by private treaty 01 Jul 2021,20210701,57 Lewis Street,PORT WELSHPOOL,VIC,3965,-38.6992264,146.461349,3,1,2,House,House,False,980,m2,False
2017092742,listing,/77-lewis-street-port-welshpool-vic-3965-2017092742,440000,is-sold,Sold by private treaty 24 Aug 2021,20210824,77 Lewis Street,PORT WELSHPOOL,VIC,3965,-38.6995468,146.463959,2,1,2,House,House,False,1000,m2,False
2017196145,listing,/port-welshpool-vic-3965-2017196145,520000,is-sold,Sold by private treaty 27 Aug 2021,20210827,,PORT WELSHPOOL,VIC,3965,-38.6927071,146.4776,3,2,4,House,House,False,1005,m2,False
2017245217,listing,/2-turnbull-street-port-welshpool-vic-3965-2017245217,300000,is-sold,Sold by private treaty 07 Jan 2022,20220107,2 Turnbull Street,PORT WELSHPOOL,VIC,3965,-38.6993141,146.464752,-,-,-,VacantLand,Vacant land,False,855,m2,False
2017263444,listing,/40-ross-street-port-welshpool-vic-3965-2017263444,425000,is-sold,Sold by private treaty 08 Oct 2021,20211008,40 Ross Street,PORT WELSHPOOL,VIC,3965,-38.69626,146.462692,3,1,2,House,House,False,1033,m2,False
2017296857,listing,/5-heathlands-dr-port-welshpool-vic-3965-2017296857,130000,is-sold,Sold by private treaty 29 Oct 2021,20211029,5 Heathlands Dr,PORT WELSHPOOL,VIC,3965,-38.6953926,146.454285,-,-,-,VacantLand,Vacant land,False,782,m2,False
2017339138,listing,/25-ross-street-port-welshpool-vic-3965-2017339138,560000,is-sold,Sold by private treaty 17 Feb 2022,20220217,25 Ross Street,PORT WELSHPOOL,VIC,3965,-38.69545,146.461212,3,1,1,House,House,False,1008,m2,False
2017340076,listing,/27-ross-street-port-welshpool-vic-3965-2017340076,275000,is-sold,Sold by private treaty 17 Feb 2022,20220217,27 Ross Street,PORT WELSHPOOL,VIC,3965,-38.69567,146.461411,-,-,-,VacantLand,Vacant land,False,787,m2,False
2017524820,listing,/16-townsend-street-port-welshpool-vic-3965-2017524820,477500,is-sold,Sold by private treaty 19 Jan 2022,20220119,16 Townsend Street,PORT WELSHPOOL,VIC,3965,-38.6966438,146.456329,3,1,2,House,House,False,678,m2,False
2017525247,listing,/46-stewart-street-port-welshpool-vic-3965-2017525247,510000,is-sold,Sold by private treaty 30 Sep 2022,20220930,46 Stewart Street,PORT WELSHPOOL,VIC,3965,-38.6987572,146.463226,3,1,4,House,House,False,997,m2,False
2017555021,listing,/13-townsend-street-port-welshpool-vic-3965-2017555021,239000,is-sold,Sold by private treaty 08 Feb 2022,20220208,13 Townsend Street,PORT WELSHPOOL,VIC,3965,-38.69615,146.455887,-,-,-,VacantLand,Vacant land,False,1842,m2,False
2017593953,listing,/330-telegraph-rd-port-welshpool-vic-3965-2017593953,590000,is-sold,Sold by private treaty 02 Mar 2022,20220302,330 Telegraph Rd,PORT WELSHPOOL,VIC,3965,-38.6820831,146.486923,4,2,11,House,House,True,1.58,ha,False
2017621917,listing,/3-stratton-street-port-welshpool-vic-3965-2017621917,473500,is-sold,Sold by private treaty 15 Mar 2022,20220315,3 Stratton Street,PORT WELSHPOOL,VIC,3965,-38.698494,146.460083,3,1,-,House,House,False,604,m2,False
2017631663,listing,/74-townsend-st-port-welshpool-vic-3965-2017631663,500000,is-sold,Sold by private treaty 18 Mar 2022,20220318,74 Townsend St,PORT WELSHPOOL,VIC,3965,-38.69771,146.463913,3,1,6,House,House,False,1019,m2,False
2017644900,listing,/89-townsend-street-port-welshpool-vic-3965-2017644900,290000,is-sold,Sold by private treaty 20 Apr 2022,20220420,89 Townsend Street,PORT WELSHPOOL,VIC,3965,-38.69759,146.466949,-,-,-,VacantLand,Vacant land,False,2049,m2,False
2017722009,listing,/48-lasseters-road-port-welshpool-vic-3965-2017722009,180000,is-sold,Sold by private treaty 15 Jul 2022,20220715,48 Lasseters Road,PORT WELSHPOOL,VIC,3965,-38.6888542,146.467667,-,-,-,AcreageSemiRural,Acreage / Semi-Rural,True,6.13,ha,False
2018090943,listing,/7-dobson-street-port-welshpool-vic-3965-2018090943,552500,is-sold,Sold by private treaty 05 Oct 2022,20221005,7 Dobson Street,PORT WELSHPOOL,VIC,3965,-38.69781,146.463,3,1,4,House,House,False,630,m2,False
