id,listingType,url,price,tagClassName,tagText,date,street,suburb,state,postcode,lat,lng,beds,baths,parking,propertyType,propertyTypeFormatted,isRural,landSize,landUnit,isRetirement
2017184090,listing,/249-top-somerton-road-attunga-nsw-2345-2017184090,850000,is-sold,Sold by private treaty 21 Oct 2021,20211021,249 TOP SOMERTON ROAD,ATTUNGA,NSW,2345,-30.9217968,150.8233,5,5,5,House,House,True,8.9,ha,False
2017193030,listing,/32-attunga-street-attunga-nsw-2345-2017193030,280000,is-sold,Sold by private treaty 13 Aug 2021,20210813,32 Attunga Street,ATTUNGA,NSW,2345,-30.9288,150.84079,3,3,3,House,House,False,1012.0,m2,False
2017230896,listing,/43-ridge-street-attunga-nsw-2345-2017230896,355000,is-sold,Sold by private treaty 08 Oct 2021,20211008,43 Ridge Street,ATTUNGA,NSW,2345,-30.927494,150.838654,5,5,5,House,House,False,1012.0,m2,False
2017233496,listing,/2516-manilla-road-attunga-nsw-2345-2017233496,960000,is-sold,Sold by private treaty 08 Oct 2021,20211008,2516 Manilla Road,ATTUNGA,NSW,2345,-30.9006538,150.834167,5,5,5,AcreageSemiRural,Acreage / Semi-Rural,True,4.03,ha,False
2017327338,listing,/5-manilla-road-attunga-nsw-2345-2017327338,445500,is-sold,Sold at auction 09 Nov 2021,20211109,5 Manilla Road,ATTUNGA,NSW,2345,-30.9289436,150.845688,3,3,3,House,House,False,1279.0,m2,False
2017413713,listing,/24-attunga-street-attunga-nsw-2345-2017413713,160000,is-sold,Sold by private treaty 04 Feb 2022,20220204,24 Attunga Street,ATTUNGA,NSW,2345,-30.9290619,150.841522,3,3,3,House,House,False,1413.0,m2,False
2017441086,listing,/320-garthowen-road-attunga-nsw-2345-2017441086,800000,is-sold,Sold by private treaty 06 Dec 2021,20211206,320 Garthowen Road,ATTUNGA,NSW,2345,-30.9074688,150.863876,4,4,4,House,House,True,25.14,ha,False
2017504043,listing,/lot-1-manilla-road-attunga-nsw-2345-2017504043,,is-sold,Sold by private treaty 20 Jan 2022,20220120,Lot 1 Manilla Road,ATTUNGA,NSW,2345,-30.9287758,150.845963,,,,VacantLand,Vacant land,False,1910.0,m2,False
2017524673,listing,/garthowen-nsw-2345-2017524673,930000,is-sold,Sold by private treaty 04 Feb 2022,20220204,,GARTHOWEN,NSW,2345,-30.9275913,150.835251,3,3,3,Rural,Rural,True,0.0,m2,False
2017537544,listing,/62-attunga-street-attunga-nsw-2345-2017537544,312000,is-sold,Sold by private treaty 02 Feb 2022,20220202,62 Attunga Street,ATTUNGA,NSW,2345,-30.928133,150.836746,3,3,3,House,House,False,0.0,m2,False
2017582570,listing,/35-ridge-street-attunga-nsw-2345-2017582570,389500,is-sold,Sold by private treaty 17 Nov 2021,20211117,35 Ridge Street,ATTUNGA,NSW,2345,-30.92765,150.839615,4,4,4,House,House,False,1013.0,m2,False
2017725340,listing,/lot-1-manilla-road-attunga-nsw-2345-2017725340,130000,is-sold,Sold by private treaty 17 Jun 2022,20220617,Lot 1 Manilla Road,ATTUNGA,NSW,2345,-30.929348,150.841675,,,,VacantLand,Vacant land,False,2062.0,m2,False
2017767802,listing,/17-manilla-road-attunga-nsw-2345-2017767802,320000,is-sold,Sold by private treaty 16 Jun 2022,20220616,17 Manilla Road,ATTUNGA,NSW,2345,-30.927618,150.844971,3,3,3,House,House,False,738.0,m2,False
2017770125,listing,/6-cross-street-attunga-nsw-2345-2017770125,380000,is-sold,Sold by private treaty 21 Jun 2022,20220621,6 Cross Street,ATTUNGA,NSW,2345,-30.9285412,150.844055,3,3,3,House,House,False,1012.0,m2,False
2017852770,listing,/320-top-somerton-road-attunga-nsw-2345-2017852770,499000,is-sold,Sold by private treaty 24 Jun 2022,20220624,320 Top Somerton Road,ATTUNGA,NSW,2345,-30.9192333,150.81546,2,2,2,AcreageSemiRural,Acreage / Semi-Rural,True,2.02,ha,False
2017949881,listing,/209-top-somerton-road-attunga-nsw-2345-2017949881,1080000,is-sold,Sold by private treaty 18 Aug 2022,20220818,209 Top Somerton Road,ATTUNGA,NSW,2345,-30.92379,150.825287,4,4,4,AcreageSemiRural,Acreage / Semi-Rural,True,5.26,ha,False
2018150480,listing,/68-attunga-street-attunga-nsw-2345-2018150480,250000,is-sold,Sold prior to auction 11 Nov 2022,20221111,68 Attunga Street,ATTUNGA,NSW,2345,-30.9277248,150.836243,2,2,2,House,House,False,1012.0,m2,False
2018159157,listing,/12-kimo-street-attunga-nsw-2345-2018159157,110000,is-sold,Sold by private treaty 22 Nov 2022,20221122,12 Kimo Street,ATTUNGA,NSW,2345,-30.9273281,150.844269,,,,VacantLand,Vacant land,False,766.0,m2,False
