id,listingType,url,price,tagClassName,tagText,date,street,suburb,state,postcode,lat,lng,beds,baths,parking,propertyType,propertyTypeFormatted,isRural,landSize,landUnit,isRetirement
2018319363,listing,/192-warrigal-road-mentone-vic-3194-2018319363,1450000,is-sold,Sold prior to auction 27 Feb 2023,20230227,192 Warrigal Road,MENTONE,VIC,3194,-37.9752274,145.072922,5,2,2,House,House,False,609,m2,False
2018366281,listing,/4-6-neville-street-mentone-vic-3194-2018366281,567500,is-sold,Sold prior to auction 01 Mar 2023,20230301,4/6 Neville Street,MENTONE,VIC,3194,-37.9789352,145.069977,2,1,1,ApartmentUnitFlat,Apartment / Unit / Flat,False,0,m2,False
2018141842,listing,/56-mundy-street-mentone-vic-3194-2018141842,Price Withheld,is-sold,Sold by private treaty 28 Feb 2023,20230228,56 Mundy Street,MENTONE,VIC,3194,-37.982132,145.05687,4,3,3,House,House,False,724,m2,False
